Region,Date,Village/local area,X,Y,District,Province,Type of attack,Reportedly drone?,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,Strike link
Kunduz,29/09/2015,Kunduz airport,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#88
Kunduz,30/09/2015,Kunduz airport,330,80,Kunduz city,Kunduz,US strike,0,0,24,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#89
Kunduz,30/09/2015,Kunduz airport,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#90
Kunduz,30/09/2015,Kunduz airport,330,80,Kunduz city,Kunduz,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#91
Kunduz,30/09/2015,Kunduz city,330,80,Kunduz city,Kunduz,US strike,0,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#92
Laghman,29/12/2015,Masboud valley,340,100,Alishang,Laghman,US strike,1,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#139
Logar,2/8/15,Cholzi,360,130,Baraki Barak,Logar,US strike,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#63
Logar,7/1/15,Unknown,360,130,Logar,Logar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#5
Logar,11/6/16,Unknown,360,130,Azara,Logar,US strike,1,11,11,0,3,0,0,0,0,https://www.thebureauinvestigates.com/2016/01/07/get-the-data-a-list-of-us-air-and-drone-strikes-afghanistan-2016/#215
Logar,19/10/2015,Unknown,360,130,Kharwar,Logar,US strike,0,0,20,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#99
Logar,20/07/2015,Cheltan,360,130,Baraki Barak,Logar,US strike,0,7,10,0,0,0,0,5,6,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#59
Logar,31/05/2015,Unknown,360,130,Baraki Barak,Logar,US strike,0,2,3,0,3,0,2,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#130
Nangarhar,3/5/15,Unknown,360,145,Mohmand Dara,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#15
Nangarhar,4/5/15,"Dabili, Landi Basawal area",360,145,Mohmand Dara,Nangarhar,US strike,1,17,17,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#16
Nangarhar,4/6/15,Unknown,360,145,Achin,Nangarhar,US strike,1,1,1,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#26
Nangarhar,4/6/15,Unknown,360,145,Chapahar,Nangarhar,US strike,1,6,6,0,1,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#27
Nangarhar,4/6/15,Unknown,360,145,Chapahar,Nangarhar,US strike,1,11,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#28
Nangarhar,4/7/15,Unknown,360,145,Dara I Pech,Nangarhar,US strike,0,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#173
Nangarhar,4/7/15,Unknown,360,145,Ghanikhel,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#44
Nangarhar,4/11/15,Unknown,360,145,Achin,Nangarhar,US air and Afghan ground operation,0,0,29,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#109
Nangarhar,5/7/15,Unknown,360,145,Chaparhar,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#46
Nangarhar,6/7/15,Unknown,360,145,Achin,Nangarhar,US strike,1,12,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#47
Nangarhar,6/7/15,Unknown,360,145,Achin,Nangarhar,US strike,1,13,37,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#48
Nangarhar,7/5/15,Unknown,360,145,Goshti,Nangarhar,US strike,1,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#18
Nangarhar,7/7/15,Unknown,360,145,Achin,Nangarhar,US strike,1,11,49,0,0,0,0,0,4,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#49
Nangarhar,7/7/15,Unknown,360,145,Achin,Nangarhar,US strike,1,18,18,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#50
Nangarhar,7/7/15,Unknown,360,145,Bati Kot,Nangarhar,US strike,1,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#52
Nangarhar,7/7/15,Unknown,360,145,Haska Meena,Nangarhar,US strike,1,25,25,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#51
Nangarhar,8/1/15,Chikanawr,360,145,Lal Pura,Nangarhar,US strike,1,6,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#6
Nangarhar,8/6/15,Samso,360,145,Lal Pura,Nangarhar,US strike,1,7,7,0,5,0,5,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#31
Nangarhar,8/6/15,Unknown,360,145,Lal Pura,Nangarhar,US strike,1,3,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#32
Nangarhar,8/7/15,Tangi,360,145,Dih Bala,Nangarhar,US strike,1,25,52,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/02/12/us-drone-war-afghanistan-list-american-air-strikes-2015/#53
