Region,Date,Location,X,Y,Area,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,link,Notes
North Waziristan Agency,10/1/13,"Hassokhel, near Mir Ali",320,108,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob311,
North Waziristan Agency,10/3/13,Datta Khel,320,108,North Waziristan,1,3,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob314,
North Waziristan Agency,5/8/14,"Lawara Mandi village, Datta Khel tehsil",320,108,North Waziristan,5,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob339,
North Waziristan Agency,7/10/14,"Kundser, Datta Khel",320,108,North Waziristan,2,4,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob345,
North Waziristan Agency,7/12/14,"Khar Tangi, Datta Khel",320,108,North Waziristan,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob354,
North Waziristan Agency,8/10/14,"Loman, Datta Khel",320,108,North Waziristan,2,4,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob346,
North Waziristan Agency,9/10/14,Datta Khel,320,108,North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob347,
North Waziristan Agency,10/7/14,"Madakhel village, Datta Khel Tehsil",320,108,North Waziristan,6,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob336,
North Waziristan Agency,11/6/14,Tabi Tolkhel or Darga Mandi,320,108,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob333,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#
North Waziristan Agency,11/10/14,"Marga, Shawal",320,108,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob349,
North Waziristan Agency,11/11/14,"Dawa Toi, Datta Khel",320,108,North Waziristan,4,7,0,2,0,2,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob351,
North Waziristan Agency,12/6/14,"Darga Mandi, Dande Darpakhel or Ghulam Khan",320,108,North Waziristan,6,10,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob334,
North Waziristan Agency,1/6/15,Shawal,320,108,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob367,
North Waziristan Agency,1/9/15,"Karwanda village, Manzarkhel area, Dattakhel sub-division or Lawara Banga area of Shawal valley",320,108,North Waziristan,5,6,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob370,
North Waziristan Agency,4/1/15,"Alwara Mandi, Datta Khel or Shawal",320,108,North Waziristan,6,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob358,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#
North Waziristan Agency,6/6/15,Shawal or Datta Khel,320,108,North Waziristan,7,9,0,3,0,0,4,4,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob368,
North Waziristan Agency,6/8/15,"Alwara Mandi area, Datta Khel",320,108,North Waziristan,4,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob369,
North Waziristan Agency,12/4/15,Shawal,320,108,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob364,
North Waziristan Agency,9/1/16,"Mangrooti village, Shawal valley, Datta Khel tehsil",320,108,North Waziristan,5,5,0,0,0,0,2,2,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob371,https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#
North Waziristan Agency,13/03/2011,"Ishar Morr area, Qutab Khel, Miranshah",320,108,North Waziristan,4,7,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob199,
North Waziristan Agency,13/05/2011,Doga Mada Khel,320,108,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob208,
North Waziristan Agency,13/06/2012,"Isha, near Miranshah",320,108,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob279,
North Waziristan Agency,13/07/2013,Khray Chila Mossaki area of Mir Ali,320,108,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob321,
North Waziristan Agency,13/10/2010,Datta Khel,320,108,North Waziristan,6,14,3,6,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob146,
North Waziristan Agency,13/10/2011,Danda Darpakhel,320,108,North Waziristan,1,6,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob243,
North Waziristan Agency,13/11/2010,Miram Shah,320,108,North Waziristan,4,4,0,4,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob160,
North Waziristan Agency,14/02/2010,Mir Ali,320,108,North Waziristan,5,7,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob69,
North Waziristan Agency,14/03/2011,Malik Jashdar,320,108,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob200,
North Waziristan Agency,14/04/2010,Ambar Shaga,320,108,North Waziristan,4,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob85,
North Waziristan Agency,14/04/2013,Datta Khel,320,108,North Waziristan,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob316,
North Waziristan Agency,14/06/2012,Miranshah,320,108,North Waziristan,1,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob280,
North Waziristan Agency,14/08/2010,Issori,320,108,North Waziristan,13,14,7,7,1,1,5,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob107,
North Waziristan Agency,14/09/2009,Toorikhel,320,108,North Waziristan,5,5,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob35,
North Waziristan Agency,14/09/2010,Bushnarai,320,108,North Waziristan,11,12,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob123,
North Waziristan Agency,14/09/2010,Qutab Khel,320,108,North Waziristan,1,4,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob124,
North Waziristan Agency,14/10/2011,Danda Darpakhel,320,108,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob245,
North Waziristan Agency,14/11/2008,Garyom,320,108,North Waziristan,11,13,3,12,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B40,
North Waziristan Agency,14/12/2010,Spalaga,320,108,North Waziristan,3,4,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob170,
North Waziristan Agency,15/01/2010,Shaktoi,320,108,North Waziristan,6,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob61,
North Waziristan Agency,15/01/2010,Zanani,320,108,North Waziristan,5,10,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob60,
North Waziristan Agency,15/01/2015,Shawal,320,108,North Waziristan,5,7,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob359,
North Waziristan Agency,15/02/2010,Tappi,320,108,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob70,
North Waziristan Agency,15/06/2011,Mir Ali,320,108,North Waziristan,5,6,5,6,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob221,
North Waziristan Agency,15/07/2010,Sheerani,320,108,North Waziristan,9,14,0,7,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob102,
North Waziristan Agency,15/09/2010,Darga Mandi,320,108,North Waziristan,11,15,5,5,0,0,1,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob125,
North Waziristan Agency,15/09/2010,Pai Khel,320,108,North Waziristan,4,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob126,
North Waziristan Agency,15/10/2009,Danda Darpakhel,320,108,North Waziristan,3,4,0,0,0,0,7,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob40,
North Waziristan Agency,15/10/2010,Aziz Khel,320,108,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob147,
North Waziristan Agency,15/10/2010,Machi Khel,320,108,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob148,
North Waziristan Agency,15/11/2011,Miram Shah,320,108,North Waziristan,3,7,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob253,
North Waziristan Agency,15/12/2008,Tapi Tool,320,108,North Waziristan,2,3,0,3,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B47,
North Waziristan Agency,16/02/2012,"Jalar Zakar Khel, Mir Ali",320,108,North Waziristan,8,15,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob263,
North Waziristan Agency,16/02/2012,Miranshah,320,108,North Waziristan,5,6,0,0,0,0,4,7,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob262,
North Waziristan Agency,16/03/2010,Datta Khel,320,108,North Waziristan,7,11,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob77,
North Waziristan Agency,16/03/2011,Datta Khel,320,108,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob201,
North Waziristan Agency,16/04/2010,Toorikhel,320,108,North Waziristan,3,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob86,
North Waziristan Agency,16/05/2009,Khesoor,320,108,North Waziristan,25,40,9,9,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob17,
North Waziristan Agency,16/05/2011,"Khisoor Village, Mir Ali",320,108,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob210,
North Waziristan Agency,16/05/2011,"Khushali Village, Mir Ail",320,108,North Waziristan,4,10,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob209,
North Waziristan Agency,16/05/2015,"Wara Mandi, Shawal",320,108,North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob365,
North Waziristan Agency,16/07/2014,"Saidgai, Datta Khel tehsil",320,108,North Waziristan,15,24,0,0,0,0,4,6,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob337,
North Waziristan Agency,16/08/2011,Miram Shah,320,108,North Waziristan,2,7,3,4,1,1,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob236,
North Waziristan Agency,16/11/2010,Ghulam Khan,320,108,North Waziristan,20,20,0,9,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob161,
North Waziristan Agency,17/01/2010,Shaktoi,320,108,North Waziristan,14,20,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob62,
North Waziristan Agency,17/02/2010,Tabbi,320,108,North Waziristan,4,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob71,
North Waziristan Agency,17/03/2010,Hamzoni,320,108,North Waziristan,3,5,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob78,
North Waziristan Agency,17/03/2010,Mizar Madakhel,320,108,North Waziristan,5,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob79,
North Waziristan Agency,17/03/2011,Datta Khel,320,108,North Waziristan,26,42,19,41,0,1,9,14,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob202,
North Waziristan Agency,17/07/2009,Gariwam,320,108,North Waziristan,5,6,0,0,0,0,4,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob28,
North Waziristan Agency,17/11/2011,Shawal,320,108,North Waziristan,7,9,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob255,
North Waziristan Agency,17/12/2009,Ambar Shaga,320,108,North Waziristan,12,16,6,6,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob49,
North Waziristan Agency,17/12/2009,Datta Khel,320,108,North Waziristan,2,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob48,
North Waziristan Agency,18/01/2011,"Assar Madd Khel, Datta Khel",320,108,North Waziristan,3,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob187,
North Waziristan Agency,18/02/2010,Danda Darpakhel,320,108,North Waziristan,3,5,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob72,
North Waziristan Agency,18/05/2015,"Zoy Nari, Shawal",320,108,North Waziristan,3,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob366,
North Waziristan Agency,18/06/2014,"Darga Mandi, Dande Darpakhel or Miranshah",320,108,North Waziristan,4,8,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob335,
North Waziristan Agency,18/08/2012,"Mammon Narai, Shuweda",320,108,North Waziristan,5,12,1,1,0,0,2,9,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob286,
North Waziristan Agency,18/10/2010,Datta Khel,320,108,North Waziristan,6,7,1,1,1,1,1,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob149,
North Waziristan Agency,18/11/2009,Shanakorah,320,108,North Waziristan,3,6,0,0,0,0,2,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob44,
North Waziristan Agency,18/12/2009,Babrak Ziarat,320,108,North Waziristan,5,8,5,5,0,0,4,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob50,
North Waziristan Agency,19/01/2010,Deegan,320,108,North Waziristan,5,9,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob63,
North Waziristan Agency,19/01/2015,"Shahi Khel, Shawal",320,108,North Waziristan,5,7,0,0,0,0,4,6,http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob361,
North Waziristan Agency,19/06/2007,Mami Rogha,320,108,North Waziristan,20,34,0,34,0,0,10,15,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B9,
North Waziristan Agency,19/06/2010,Haider Khel,320,108,North Waziristan,16,17,0,0,0,0,10,18,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob98,
North Waziristan Agency,19/07/2014,"Doga Madakhel, Datta Khel tehsil",320,108,North Waziristan,11,15,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob338,
North Waziristan Agency,19/08/2012,"Mana, Shawal",320,108,North Waziristan,4,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob287,
North Waziristan Agency,19/08/2012,"Mana, Shawal",320,108,North Waziristan,2,3,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob288,
North Waziristan Agency,19/09/2010,Deegan,320,108,North Waziristan,3,9,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob127,
North Waziristan Agency,19/11/2010,Norak,320,108,North Waziristan,2,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob162,
North Waziristan Agency,20/05/2011,Tappi,320,108,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob211,
North Waziristan Agency,20/07/2011,Mir Ali,320,108,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob232,
North Waziristan Agency,20/09/2010,Darazinda,320,108,North Waziristan,3,6,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob128,
North Waziristan Agency,20/11/2009,Machi Khel,320,108,North Waziristan,3,14,3,3,1,1,2,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob45,
North Waziristan Agency,20/11/2014,Datta Khel,320,108,North Waziristan,5,8,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob352,
North Waziristan Agency,20/12/2014,Datta Khel,320,108,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob355,
North Waziristan Agency,21/02/2011,Malik Jashdar,320,108,North Waziristan,7,14,0,11,0,0,10,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob192,
North Waziristan Agency,21/03/2010,Inzar,320,108,North Waziristan,5,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob80,
North Waziristan Agency,21/05/2010,Boya,320,108,North Waziristan,11,11,10,10,7,7,7,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob94,
North Waziristan Agency,21/08/2009,Danda Darpakhel,320,108,North Waziristan,17,21,9,13,6,6,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob31,
North Waziristan Agency,21/08/2010,Qutab Khel,320,108,North Waziristan,4,6,0,4,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob108,
North Waziristan Agency,21/08/2012,"Shnakhura, Datta Khel",320,108,North Waziristan,4,25,1,3,1,1,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob289,
North Waziristan Agency,21/09/2012,Mohammed Khel/Datta Khel,320,108,North Waziristan,3,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob294,
North Waziristan Agency,21/10/2009,Spalaga,320,108,North Waziristan,3,3,0,0,0,0,8,8,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob41,
North Waziristan Agency,21/11/2010,Khaddi,320,108,North Waziristan,5,9,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob163,
North Waziristan Agency,21/12/2012,"Hassokhel, near Mir Ali",320,108,North Waziristan,3,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob304,
North Waziristan Agency,22/03/2013,"New Adda, Tehsil Datta Khel",320,108,North Waziristan,1,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob315,
North Waziristan Agency,22/04/2011,Spinwan,320,108,North Waziristan,20,26,5,9,3,5,5,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob204,
North Waziristan Agency,22/08/2011,"Mir Koon Khel, Mir Ali",320,108,North Waziristan,3,7,0,4,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob238,
North Waziristan Agency,22/11/2008,Ali Khel,320,108,North Waziristan,4,6,0,1,0,0,6,6,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B42,
North Waziristan Agency,22/11/2010,Khesoor,320,108,North Waziristan,3,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob164,
North Waziristan Agency,23/01/2009,Zharki,320,108,North Waziristan,7,15,9,11,1,1,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob1,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#
North Waziristan Agency,23/01/2011,Doga Mada Khel,320,108,North Waziristan,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob188,
North Waziristan Agency,23/01/2011,Doga Mada Khel,320,108,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob189,
North Waziristan Agency,23/01/2011,Razmak,320,108,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob190,
North Waziristan Agency,23/01/2012,"Char Khel, Datta Khel",320,108,North Waziristan,0,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob259,
North Waziristan Agency,23/01/2012,Deegan,320,108,North Waziristan,2,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob258,
North Waziristan Agency,23/03/2010,Machis,320,108,North Waziristan,6,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob81,
North Waziristan Agency,23/05/2011,Mir Ali,320,108,North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob212,
North Waziristan Agency,23/05/2012,Datta Khel Kalai,320,108,North Waziristan,1,5,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob271,
North Waziristan Agency,23/07/2012,Dre Nishter/Shawal,320,108,North Waziristan,11,14,6,14,0,0,2,11,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob284,
North Waziristan Agency,23/08/2010,Danda Darpakhel,320,108,North Waziristan,20,20,7,9,3,3,15,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob109,
North Waziristan Agency,23/08/2010,Darga Mandi,320,108,North Waziristan,5,7,0,0,0,0,3,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob110,
North Waziristan Agency,23/09/2011,Khushali,320,108,North Waziristan,3,8,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob240,
North Waziristan Agency,23/10/2008,Danda Darpakhel,320,108,North Waziristan,8,11,7,10,7,7,6,11,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B35,
North Waziristan Agency,24/02/2010,Darga Mandi,320,108,North Waziristan,5,13,5,6,1,1,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob73,
North Waziristan Agency,24/02/2011,Mohammad Khel,320,108,North Waziristan,4,7,0,0,0,0,3,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob193,
North Waziristan Agency,24/04/2010,Machi Khel,320,108,North Waziristan,7,9,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob87,
North Waziristan Agency,24/05/2012,Khassokhel near Mir Ali,320,108,North Waziristan,5,12,0,8,0,0,3,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob272,
North Waziristan Agency,24/08/2012,"Dara, Shawal",320,108,North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob291,
North Waziristan Agency,24/08/2012,"Dre Nishter, Shawal",320,108,North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob292,
North Waziristan Agency,24/08/2012,"Makai/Maki Ghar, Shawal",320,108,North Waziristan,13,22,0,0,0,0,4,14,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob290,
North Waziristan Agency,24/09/2009,Mir Ali,320,108,North Waziristan,10,12,0,12,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob36,
North Waziristan Agency,24/09/2012,"Mosaki - Inzar Abad, Tehsil Mir Ali",320,108,North Waziristan,3,8,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob295,
North Waziristan Agency,24/09/2014,"Alwara Mandi village, Datta Khel tehsil",320,108,North Waziristan,5,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob340,
North Waziristan Agency,24/10/2012,Village Ghundi Killi Daur Tappi area of Tehsil Miranshah,320,108,North Waziristan,1,1,1,1,0,0,6,9,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob299,
North Waziristan Agency,25/07/2010,Shaktoi,320,108,North Waziristan,14,32,0,0,0,0,7,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob104,
North Waziristan Agency,25/07/2010,Tabbi,320,108,North Waziristan,4,12,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob105,
North Waziristan Agency,25/09/2010,Datta Khel,320,108,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob131,
North Waziristan Agency,25/12/2013,"Qutab Khel, Miranshah",320,108,North Waziristan,3,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob332,
North Waziristan Agency,26/03/2009,Sokhel,320,108,North Waziristan,4,5,0,5,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob9,
North Waziristan Agency,26/04/2010,Khushali,320,108,North Waziristan,3,8,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob88,
North Waziristan Agency,26/05/2012,Miranshah,320,108,North Waziristan,1,4,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob273,
North Waziristan Agency,26/06/2010,Khushali,320,108,North Waziristan,2,4,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob99,
