Region,Date,Location,X,Y,Area,MinTotal,MaxTotal,MinCivilians,MaxCivilians,MinChildren,MaxChildren,MinInj,MaxInj,link,Notes
North Waziristan Agency,5/9/08,Gurwak,320,108,North Waziristan,5,12,5,7,3,4,0,0,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B25,
North Waziristan Agency,5/12/08,Kateera,320,108,North Waziristan,3,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B45,
North Waziristan Agency,7/11/08,Kumsham,320,108,North Waziristan,11,16,6,11,0,0,17,17,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B39,
North Waziristan Agency,8/9/08,Miram Shah,320,108,North Waziristan,17,23,11,20,5,8,14,25,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B26,
North Waziristan Agency,9/10/08,Tati,320,108,North Waziristan,5,9,1,9,1,4,2,2,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B32,
North Waziristan Agency,11/10/08,Miram Shah,320,108,North Waziristan,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B33,
North Waziristan Agency,12/9/08,Tol Khel,320,108,North Waziristan,12,15,3,5,2,2,14,14,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B27,
North Waziristan Agency,4/4/09,Datta Khel,320,108,North Waziristan,13,15,8,13,3,5,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob11,
North Waziristan Agency,5/11/09,Norak,320,108,North Waziristan,4,6,0,0,0,0,8,8,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob43,
North Waziristan Agency,7/9/09,Machi Khel,320,108,North Waziristan,5,8,3,3,0,0,2,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob33,
North Waziristan Agency,8/9/09,Darga Mandi,320,108,North Waziristan,10,15,5,5,3,3,4,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob34,
North Waziristan Agency,8/12/09,Spalaga,320,108,North Waziristan,3,4,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob46,
North Waziristan Agency,1/1/10,Ghundikala,320,108,North Waziristan,2,3,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob53,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#
North Waziristan Agency,1/11/10,Haider Khel,320,108,North Waziristan,5,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob153,
North Waziristan Agency,2/2/10,Deegan,320,108,North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob66,
North Waziristan Agency,2/2/10,Mohammad Khel,320,108,North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob67,
North Waziristan Agency,2/2/10,Pai Khel,320,108,North Waziristan,9,9,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob68,
North Waziristan Agency,2/2/10,Toor Narai,320,108,North Waziristan,23,24,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob65,
